id,split,sentence,entity,category_llm,corretto (S/N),note
78,train,Al primo piano del Mercato Centrale di Firenze è possibile degustare specialità gastronomiche toscane.,Mercato Centrale di Firenze,other public facility,S,
79,train,Il filosofo Karl Popper difende apertamente le istituzioni democratiche nel saggio La società aperta e i suoi nemici.,La società aperta e i suoi nemici,non-fiction,S,
80,train,La celebre opera Nabucco fu composta durante un periodo particolarmente difficile per il compositore.,Nabucco,other music,S,
81,train,l urgenza della ricerca di un vaccino contro l hiv deriva dalle oltre 25 milioni di morti correlate all aids dal 1981 .,aids,symptom,S,
82,train,"Grazie a PageRank, il noto motore di ricerca ha rivoluzionato l'indicizzazione dei documenti online.",PageRank,algorithm,S,
83,train,Il Presidente del Consiglio ha accolto la delegazione straniera a Palazzo Chigi.,Palazzo Chigi,government facility,S,
84,train,Un guasto alla linea elettrica ha causato disagi sui binari della Stazione di Bari Centrale.,Stazione di Bari Centrale,station,S,
85,train,Napoleone trascorse un periodo di esilio sulla tranquilla Isola d'Elba.,Isola d'Elba,island,S,
86,test,qualunque sia il looro ripieno non mancano mai di spezie orientali .,spezie,other food,S,
87,train,Il talento drammatico di Denzel Washington ha conquistato sia la critica teatrale che il pubblico cinematografico.,Denzel Washington,actor,S,
88,train,All'interno del reattore è avvenuta la riduzione dei campioni minerali trattati.,riduzione,reaction,S,
89,train,La trasparenza delle transazioni sanitarie potrebbe essere garantita dall'uso della blockchain.,blockchain,other technology,S,
90,train,Tutti gli ingredienti della ricetta devono essere pesati con precisione usando una bilancia da cucina.,bilancia da cucina,household,S,
91,train,La tanto attesa IPO di Facebook nel 2012 attrasse enormi capitali sui mercati finanziari.,IPO di Facebook,business event,S,
92,train,Alcuni esponenti della Comunità di Sant'Egidio hanno promosso un corridoio umanitario per accogliere i rifugiati.,Comunità di Sant'Egidio,religious organization,S,
93,test,il nome scientifico ferruginea si deve alla colorazione ruggine che assumevano le foglie essiccate negli erbari .,erbari,other non-commercial organization,S,
94,train,Lo storico Cinema Mexico è rinomato per le sue proiezioni continue di opere cinematografiche cult.,Cinema Mexico,theater/cinema,S,
95,train,Il giovane prodigio ha eseguito un difficile assolo di violino prima di ricevere un caloroso plauso dal pubblico.,violino,musical instruments,S,
96,train,Nel Parco Regionale della Appia Antica è possibile percorrere a piedi l'antica strada romana.,Parco Regionale della Appia Antica,park,S,
97,test,giovanni fontana fratello di domenico e architetto tardomanierista,domenico,scholar,S,
98,train,L'opera lirica composta da Giuseppe Verdi espresse i sentimenti risorgimentali del popolo italiano.,Giuseppe Verdi,musician,S,
99,train,Un concerto rock di rilevanza nazionale ha riempito le gradinate del PalaLottomatica.,PalaLottomatica,sports facility,S,
100,test,il territorio si estende su soli 457 km² ma le isole sono sparse in una zona economica esclusiva di 1.374.000 km² .,zona economica esclusiva,other geographical entity,S,
101,train,La figura satirica di John Bull fu creata nel Settecento per personificare l'inclinazione patriottica del popolo inglese.,John Bull,other figure,S,
102,train,Le famiglie allestiscono elaborati altari colorati durante il Día de los Muertos.,Día de los Muertos,tradition,S,
103,train,La caseina coagula nello stomaco dei mammiferi fornendo un lento e costante rilascio di amminoacidi.,caseina,protein,S,
104,train,fornisce notizie a 350 quotidiani e periodici in tutto il mondo inclusi the economist the new york times e usa today .,usa today,fiction,N,media
105,train,"Nel 1953, il romanzo vinse il prestigioso Premio Pulitzer per la narrativa negli Stati Uniti.",Premio Pulitzer,literary award,S,
106,train,La separazione dei componenti tramite distillazione semplice è ostacolata quando si forma una miscela azeotropica.,miscela azeotropica,other chemical entity,S,
107,train,"La galleria d'arte inaugurata ieri si trova in Via Dante 5, Palermo.","Via Dante 5, Palermo",address,S,
108,train,Il drammatico attacco con sarin nella metropolitana provocò decine di vittime e centinaia di intossicati.,sarin,chemical weapon,S,
109,train,Per scoprire il colpevole dell'omicidio e la stanza del delitto occorre formulare le giuste ipotesi in Cluedo.,Cluedo,game,S,
110,train,"Grazie alle spiegazioni chiare di Superquark, la divulgazione scientifica è diventata accessibile a tutti.",Superquark,broadcast program,S,
111,train,La preziosa collezione di reperti ercolanesi è conservata nel Museo Archeologico Nazionale di Napoli.,Museo Archeologico Nazionale di Napoli,museum,S,
112,train,"Durante gli anni Settanta, Bernardo Bertolucci diresse opere audaci che provocarono accesi dibattiti censori.",Bernardo Bertolucci,director,S,
113,train,accanimento terapeutico sedazione profonda e abbandono cure,accanimento terapeutico,other medical entity,S,
114,train,Gli organizzatori hanno annunciato la data del Torneo delle Sei Nazioni per la prossima stagione di rugby.,Torneo delle Sei Nazioni,sporting event,S,
115,train,I fossili ritrovati in Africa Orientale offrono preziose informazioni sulle prime migrazioni di Homo sapiens.,Homo sapiens,species,S,
116,test,transformers – giocattoli prodotti da hasbro,hasbro,company,S,
117,test,l infezione si presenta in regione inguinale con una chiazza eritema anulare con un centro chiaro similmente ad altre dermatofitosi .,dermatofitosi,disease,S,
118,train,Gli artificieri sono intervenuti sulla spiaggia per rimuovere un pericoloso ordigno inesploso.,ordigno inesploso,explosives,S,
119,train,I due fisici realizzarono lo storico Esperimento di Michelson-Morley per misurare la velocità dell'etere.,Esperimento di Michelson-Morley,miscellaneous,N,science entity
120,train,Troverai sicuramente ispirazione per l'arredamento sfogliando le bacheche di Pinterest.,Pinterest,website,S,
121,train,I dibattiti del congresso medico si terranno negli auditorium del Centro Congressi La Nuvola a Roma.,Centro Congressi La Nuvola,other commercial facility,S,
122,train,Le boutique di alta moda affollano le strade del distretto di Ginza.,Ginza,district,S,
123,train,I cacciatori della Pampa sudamericana catturavano i guanachi lanciando le bolas tra le loro zampe.,bolas,other weapon,S,
124,train,I Sikh indossano tradizionalmente il turbante come simbolo della loro fede e uguaglianza.,Sikh,religious group,S,
125,train,il 17 dicembre 2019 attraverso il loro account instagram annunciano che il loro gruppo è diventato una società a responsabilità limitata .,instagram,software,S,
126,train,"Nel parco naturale sorge la Cattedrale Vegetale, un'architettura viva formata da centinaia di alberi intrecciati.",Cattedrale Vegetale,other art,S,
127,train,Il famoso compositore ha aggiunto un Golden Globe alla sua ricca collezione di trofei.,Golden Globe,artistic award,S,
128,train,"Introdotto nel 1968, il Pocket Coffee ha conquistato milioni di consumatori grazie alla sua ricetta originale.",Pocket Coffee,packaged foods,S,
129,train,Nel dramma Il giardino dei ciliegi viene raccontato il tramonto dell'aristocrazia russa di fine Ottocento.,Il giardino dei ciliegi,play,S,
130,train,La precisione dei sistemi GPS moderni dipende dall'accuratezza fornita da ogni orologio atomico.,orologio atomico,other scientific entity,S,
131,test,il palazzo ha le finestre via via più vicine avvicinandosi a santa croce per dare l illusione prospettica di maggiore grandezza .,santa croce,other facility,S,
132,train,È prevista per domani la pulizia straordinaria dei garage del Condominio Villa Marina.,Condominio Villa Marina,residential,S,
133,train,I giovani ricercatori con un dottorato in biotecnologie possono presentare domanda entro venerdì.,dottorato in biotecnologie,educational degree,S,
134,train,Gli ispettori ambientali hanno effettuato dei controlli presso la Fabbrica Chimica BASF di Ludwigshafen.,Fabbrica Chimica BASF di Ludwigshafen,factory,S,
135,train,Gli esperti di sicurezza analizzarono la stabilità dell'enterotossina B in forma nebulizzata.,enterotossina B,biological,S,
136,train,I miti classici raccontano che il tonante Zeus governasse la cima della montagna sacra.,Zeus,god,S,
137,train,L'aliscafo garantisce collegamenti veloci tra la costa e le isole minori durante la stagione estiva.,aliscafo,water,S,
138,train,Dino Buzzati lavorò per molti anni come redattore e inviato speciale al Corriere della Sera.,Dino Buzzati,author,S,
139,train,Il WWF ha lanciato una campagna di sensibilizzazione urgente sulla salvaguardia delle specie a rischio di estinzione.,WWF,community,S,
140,train,"La tragica fine di Narciso, innamoratosi della propria immagine riflessa nell'acqua, ha ispirato generazioni di artisti.",Narciso,mythological figure,S,
141,test,shaqiri esordisce con i rossocrociati il 3 marzo 2010 nell amichevole giocata a san gallo contro l e persa 1 3 .,san gallo,city,S,
142,train,L'estremo difensore è stato premiato con il Guanto d'Oro al termine del mondiale di calcio.,Guanto d'Oro,sports award,S,
143,train,La prestigiosa testata Cell ha dedicato la copertina dell'ultimo numero ai processi di senescenza cellulare.,Cell,academic journal,S,
144,train,Il MIT ha annunciato una nuova partnership strategica per lo sviluppo etico dell'intelligenza artificiale.,MIT,educational and research,S,
145,train,La Nike di Samotracia svetta maestosa sulla grande scalinata del Louvre a Parigi.,Nike di Samotracia,sculpture,S,
146,train,Tutti i visitatori rimangono incantati dai dettagli policromi del Campanile di Giotto.,Campanile di Giotto,landmark,S,
147,train,Il giornale d'istituto curato dagli studenti del Liceo Classico Cannizzaro ha vinto un premio nazionale.,Liceo Classico Cannizzaro,school,S,
148,test,deve il suo nome al ricevitore membro della pro football hall of fame fred biletnikoff .,pro football hall of fame,sports team/league,S,
149,train,"Mentre aspettavamo la coincidenza all'Aeroporto di Parigi Charles de Gaulle, abbiamo visitato la galleria d'arte del terminal.",Aeroporto di Parigi Charles de Gaulle,airport,S,
150,train,Le esercitazioni militari congiunte della NATO si svolgeranno nelle prossime settimane.,NATO,other gpe,N,political/military organization
151,train,Le spiagge incontaminate della Puglia attirano milioni di turisti ogni estate.,Puglia,region,S,
152,test,ha il fusto dritto dal quale i fiori di colore azzurro chiaro partono in ogni direzione .,fusto,other biological entity,S,
153,test,: 2000 gateshead 38 88 ( marco torrieri alessandro cavallaro maurizio checcucci andrea colombo ),alessandro cavallaro,athlete,S,
154,test,la leggenda vuole che l alimento principale del manzo sia il grano insieme alla birra e che questo venga massaggiato con del saakè .,saakè,beverages,S,error di battitura nella parola "sake"
155,train,Gli attori recitavano sul palco improvvisando i dialoghi sulla base delle tradizionali maschere della commedia dell'arte.,commedia dell'arte,literature genre,S,
